time,elapsed_seconds,message
22:46:35,0.0001738,PEST++ performance logger started
22:46:35,0.0011486,starting to process control file
22:46:35,0.0232231,finished processing control file
22:46:35,0.0303904,starting to read parameter csv file
22:46:35,0.0008188,finished reading parameter csv file
22:50:45,250.008,starting to read parameter csv file
22:50:45,0.0025944,finished reading parameter csv file
22:55:01,255.575,starting to read parameter csv file
22:55:01,0.0013546,finished reading parameter csv file
22:59:23,262.122,starting to read parameter csv file
22:59:23,0.0004564,finished reading parameter csv file
23:00:21,57.4399,starting to read parameter csv file
23:00:21,0.0001498,finished reading parameter csv file
